ano,semana,subregion,red,microred,e_salud,ubigeo,feb_m1,feb_1_4,feb_5_9,feb_10_19,feb_20_59,feb_m60,fecha_ing,clave,estado,feb_tot,fecha_not,fecha_ate,tot_aten
2007,13,52,5,0,150107A201,150107,1,0,0,1,1,0,03-04-2007,0713150107A20115011801,1,3,03-04-2007,,0
2007,14,52,5,0,150107A201,150107,0,0,2,1,3,0,10-04-2007,0714150107A20115010701,1,6,10-04-2007,,0
2007,14,52,5,0,150107A201,150107,1,0,0,1,1,0,10-04-2007,0714150107A20115011801,1,3,10-04-2007,,0
2007,15,52,5,0,150107A201,150107,0,1,1,2,2,0,17-04-2007,0715150107A20115010701,1,6,17-04-2007,,0
2007,15,52,5,0,150107A201,150107,1,0,1,0,0,0,17-04-2007,0715150107A20115011801,1,2,17-04-2007,,0
2007,16,52,5,0,150107A201,150107,0,0,1,0,0,0,20-04-2007,0715150107A20115010702,1,1,20-04-2007,,49
2007,16,52,5,0,150107A201,150107,0,2,0,1,0,0,20-04-2007,0716150107A20115010701,1,3,20-04-2007,,87
2007,16,52,5,0,150107A201,150107,0,1,0,3,1,0,20-04-2007,0716150107A20115010702,1,5,20-04-2007,,119
2007,16,52,5,0,150107A201,150107,0,0,2,0,0,0,23-04-2007,0716150107A20115010703,1,2,23-04-2007,,49
2007,17,52,5,0,150107A201,150107,1,3,2,1,2,0,02-05-2007,2007150107A201150107,1,9,28-04-2007,,9
2007,17,52,5,0,150107A201,150107,0,0,1,0,1,0,02-05-2007,2007150107A201150118,1,2,28-04-2007,,2
2007,19,52,5,0,150107A201,150107,0,3,0,4,1,0,15-05-2007,2007150107A201150107,1,8,12-05-2007,,8
2007,19,52,5,0,150107A201,150107,0,1,1,0,1,0,15-05-2007,2007150107A201150118,1,3,12-05-2007,,3
2007,20,52,5,0,150107A201,150107,1,2,2,4,1,1,22-05-2007,2007150107A201150107,1,11,19-05-2007,,11
2007,20,52,5,0,150107A201,150107,0,0,1,0,2,0,22-05-2007,2007150107A201150118,1,3,19-05-2007,,3
2007,22,52,5,0,150107A201,150107,0,6,4,5,2,1,05-06-2007,2007150107A201150107,1,18,02-06-2007,,18
2007,22,52,5,0,150107A201,150107,0,1,0,2,0,0,05-06-2007,2007150107A201150118,1,3,02-06-2007,,3
2007,23,52,5,0,150107A201,150107,0,3,2,2,2,0,12-06-2007,2007150107A201150107,1,9,09-06-2007,,9
2007,23,52,5,0,150107A201,150107,0,2,0,1,0,0,12-06-2007,2007150107A201150118,1,3,09-06-2007,,3
2007,23,52,5,0,150107A201,150107,1,0,0,0,0,0,12-06-2007,2007150107A201150103,1,1,09-06-2007,,1
2007,25,52,5,0,150107A201,150107,1,1,1,1,3,0,26-06-2007,2007150107A201150107,1,7,23-06-2007,,7
2007,25,52,5,0,150107A201,150107,0,0,0,1,1,0,26-06-2007,2007150107A201150118,1,2,23-06-2007,,2
2007,26,52,5,0,150107A201,150107,1,2,1,0,0,0,03-07-2007,2007150107A201150107,1,4,30-06-2007,,4
2007,26,52,5,0,150107A201,150107,0,0,0,1,0,0,03-07-2007,2007150107A201150118,1,1,30-06-2007,,1
2007,27,52,5,0,150107A201,150107,0,2,1,1,1,0,10-07-2007,2007150107A201150107,1,5,07-07-2007,,5
2007,27,52,5,0,150107A201,150107,0,1,0,0,0,0,10-07-2007,2007150107A201150101,1,1,07-07-2007,,1
2007,28,52,5,0,150107A201,150107,2,4,0,5,2,1,17-07-2007,2007150107A201150107,1,14,14-07-2007,,14
2007,28,52,5,0,150107A201,150107,1,0,0,0,0,0,17-07-2007,2007150107A201150118,1,1,14-07-2007,,1
2007,28,52,5,0,150107A201,150107,0,0,0,1,0,0,17-07-2007,2007150107A201150115,1,1,14-07-2007,,1
2007,29,52,5,0,150107A201,150107,2,1,0,0,1,0,24-07-2007,2007150107A201150107,1,3,21-07-2007,,3
2007,31,52,5,0,150107A201,150107,0,2,0,3,0,0,07-08-2007,2007150107A201150107,1,5,04-08-2007,,5
2007,31,52,5,0,150107A201,150107,0,0,0,0,1,0,07-08-2007,2007150107A201150118,1,1,04-08-2007,,1
2007,32,52,5,0,150107A201,150107,0,0,1,0,0,0,13-08-2007,2007150107A201150103,1,1,11-08-2007,,93
2007,32,52,5,0,150107A201,150107,0,0,1,0,0,0,13-08-2007,2007150107A201150107,1,1,11-08-2007,,76
2007,32,52,5,0,150107A201,150107,0,1,0,0,0,0,13-08-2007,2007150107A201150107,1,1,11-08-2007,,62
2007,33,52,5,0,150107A201,150107,0,1,3,0,5,0,21-08-2007,2007150107A201150107,1,9,18-08-2007,,9
2007,34,52,5,0,150107A201,150107,1,2,1,0,1,1,28-08-2007,2007150107A201150107,1,6,25-08-2007,,6
2007,35,52,5,0,150107A201,150107,0,2,0,1,0,0,04-09-2007,2007150107A201150107,1,3,01-09-2007,,3
2007,35,52,5,0,150107A201,150107,0,1,0,0,0,0,04-09-2007,2007150107A201150118,1,1,01-09-2007,,1
2007,36,52,5,0,150107A201,150107,0,0,0,0,1,0,10-09-2007,2007150107A201150107,1,1,02-09-2007,,49
2007,36,52,5,0,150107A201,150107,0,0,1,0,0,0,10-09-2007,2007150107A201150107,1,1,03-09-2007,,45
2007,36,52,5,0,150107A201,150107,0,0,1,0,0,0,10-09-2007,2007150107A201150118,1,1,03-09-2007,,47
2007,36,52,5,0,150107A201,150107,0,0,1,0,0,0,10-09-2007,2007150107A201150107,1,1,04-09-2007,,92
2007,36,52,5,0,150107A201,150107,0,0,0,0,1,0,10-09-2007,2007150107A201150107,1,1,05-09-2007,,87
2007,36,52,5,0,150107A201,150107,0,1,0,2,0,0,10-09-2007,2007150107A201150107,1,3,06-09-2007,,59
2007,36,52,5,0,150107A201,150107,0,1,1,0,0,0,10-09-2007,2007150107A201150107,1,2,07-09-2007,,77
2007,37,52,5,0,150107A201,150107,0,3,0,0,0,1,18-09-2007,2007150107A201150107,1,4,15-09-2007,,4
2007,37,52,5,0,150107A201,150107,0,0,0,0,0,1,18-09-2007,2007150107A201150118,1,1,15-09-2007,,1
2007,38,52,5,0,150107A201,150107,0,0,1,1,1,0,24-09-2007,2007150107A201150107,1,3,17-09-2007,,90
2007,38,52,5,0,150107A201,150107,0,0,0,0,1,0,24-09-2007,2007150107A201150107,1,1,18-09-2007,,85
2007,38,52,5,0,150107A201,150107,0,1,0,0,0,0,24-09-2007,2007150107A201150118,1,1,18-09-2007,,1
2007,38,52,5,0,150107A201,150107,0,0,0,0,1,0,24-09-2007,2007150107A201150107,1,1,19-09-2007,,101
2007,38,52,5,0,150107A201,150107,0,0,0,1,0,0,24-09-2007,2007150107A201150107,1,1,20-09-2007,,80
2007,38,52,5,0,150107A201,150107,0,0,0,0,1,0,24-09-2007,2007150107A201150107,1,1,21-09-2007,,62
2007,39,52,5,0,150107A201,150107,0,0,0,1,1,0,01-10-2007,2007150107A201150107,1,2,23-09-2007,,34
2007,39,52,5,0,150107A201,150107,0,0,1,0,1,0,01-10-2007,2007150107A201150107,1,2,24-09-2007,,90
2007,39,52,5,0,150107A201,150107,0,0,0,0,1,0,01-10-2007,2007150107A201150107,1,1,25-09-2007,,77
2007,39,52,5,0,150107A201,150107,0,0,1,1,0,0,01-10-2007,2007150107A201150107,1,2,27-09-2007,,80
2007,39,52,5,0,150107A201,150107,0,1,0,1,0,0,01-10-2007,2007150107A201150107,1,2,29-09-2007,,78
2007,41,52,5,0,150107A201,150107,0,0,1,1,1,0,15-10-2007,2007150107A201150107,1,3,08-10-2007,,59
2007,41,52,5,0,150107A201,150107,0,0,0,0,1,0,15-10-2007,2007150107A201150107,1,1,12-10-2007,,68
2007,42,52,5,0,150107A201,150107,0,1,1,0,0,0,22-10-2007,2007150107A201150107,1,2,15-10-2007,,86
2007,42,52,5,0,150107A201,150107,0,0,0,1,0,0,22-10-2007,2007150107A201150107,1,1,16-10-2007,,84
2007,42,52,5,0,150107A201,150107,0,0,1,0,0,0,22-10-2007,2007150107A201150107,1,1,17-10-2007,,94
2007,42,52,5,0,150107A201,150107,0,3,0,1,1,0,22-10-2007,2007150107A201150107,1,5,19-10-2007,,86
2007,43,52,5,0,150107A201,150107,0,1,1,1,0,0,29-10-2007,2007150107A201150107,1,3,23-10-2007,,90
2007,43,52,5,0,150107A201,150107,1,0,0,0,0,0,29-10-2007,2007150107A201150118,1,1,23-10-2007,,6
2007,43,52,5,0,150107A201,150107,1,1,0,1,1,0,29-10-2007,2007150107A201150107,1,4,25-10-2007,,80
2007,43,52,5,0,150107A201,150107,0,0,0,0,1,0,29-10-2007,2007150107A201150118,1,1,25-10-2007,,2
2007,43,52,5,0,150107A201,150107,0,2,0,0,0,0,29-10-2007,2007150107A201150118,1,2,26-10-2007,,58
2007,44,52,5,0,150107A201,150107,0,0,0,1,0,0,05-11-2007,2007150107A201150103,1,1,28-10-2007,,68
2007,44,52,5,0,150107A201,150107,0,4,0,0,0,0,05-11-2007,2007150107A201150107,1,4,29-10-2007,,54
2007,44,52,5,0,150107A201,150107,0,1,0,0,0,0,05-11-2007,2007150107A201150107,1,1,30-10-2007,,74
2007,44,52,5,0,150107A201,150107,0,1,0,0,0,0,05-11-2007,2007150107A201150107,1,1,31-10-2007,,90
2007,44,52,5,0,150107A201,150107,0,1,0,0,0,0,05-11-2007,2007150107A201150107,1,1,01-11-2007,,44
2007,44,52,5,0,150107A201,150107,0,1,0,0,0,0,05-11-2007,2007150107A201150107,1,1,03-11-2007,,67
2007,45,52,5,0,150107A201,150107,0,1,0,0,1,0,12-11-2007,2007150107A201150107,1,2,04-11-2007,,32
2007,45,52,5,0,150107A201,150107,1,0,0,0,0,0,12-11-2007,2007150107A201150107,1,1,05-11-2007,,69
