ID,ANO,SEMANA,SUB_REG_NT,RED,MICRORED,E_SALUD,UBIGEO,IRA_M2,IRA_2_11,IRA_1_4A,IRA_5_9A,IRA_10_19A,IRA_20_59A,IRA_60A,NEU_2_11,NEU_1_4A,NEU_5_9A,NEU_10_19,NEU_20_59,NEU_60A,HOS_M2,HOS_2_11,HOS_1_4A,HOS_5_9A,HOS_10_19,HOS_20_59,HOS_60A,NGR_M2,NGR_2_11,NGR_1_4A,NGR_5_9A,NGR_60A,DIH_M2,DIH_2_11,DIH_1_4A,DIH_5_9A,DIH_10_19,DIH_20_59,DIH_60A,DEH_M2,DEH_2_11,DEH_1_4A,DEH_5_9A,DEH_10_19,DEH_20_59,DEH_60A,SOB_2A,SOB_2_4A,SOB_5_9A,SOB_10_19A,SOB_20_59A,SOB_60A,FECHA_ING,ETNIAPROC,ETNIAS,PROCEDE,OTROPROC,USUARIO_REG
884101,2001,35,52,5,0,150107A201,150103,0,0,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-09-04,,,,,
884401,2001,36,52,5,0,150107A201,150103,0,0,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-09-10,,,,,
885016,2001,38,52,5,0,150107A201,150103,0,0,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-09-24,,,,,
885646,2001,40,52,5,0,150107A201,150103,0,0,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-10-09,,,,,
886252,2001,42,52,5,0,150107A201,150103,0,1,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,,0,2001-10-22,,,,,
886543,2001,43,52,5,0,150107A201,150103,0,2,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,,,0,2001-10-29,,,,,
887125,2001,45,52,5,0,150107A201,150103,0,1,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-11-12,,,,,
887431,2001,46,52,5,0,150107A201,150103,0,0,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-11-19,,,,,
887722,2001,47,52,5,0,150107A201,150103,1,1,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,0,2001-11-26,,,,,
873595,2001,48,52,5,0,150107A201,150103,0,1,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-12-03,,,,,
888586,2001,50,52,5,0,150107A201,150103,1,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-12-17,,,,,
888886,2001,51,52,5,0,150107A201,150103,0,0,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,2001-12-26,,,,,
874153,2001,1,52,5,0,150107A201,150107,4,7,17,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,,,0,2001-01-08,,,,,
874423,2001,2,52,5,0,150107A201,150107,0,3,6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.0,,,0,2001-01-16,,,,,
874693,2001,3,52,5,0,150107A201,150107,0,9,19,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0,,,0,2001-01-22,,,,,
874978,2001,4,52,5,0,150107A201,150107,0,5,9,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0,,,0,2001-01-29,,,,,
875248,2001,5,52,5,0,150107A201,150107,1,9,25,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.0,,,0,2001-02-05,,,,,
875509,2001,6,52,5,0,150107A201,150107,1,5,12,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.0,,,0,2001-02-12,,,,,
875782,2001,7,52,5,0,150107A201,150107,0,1,20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,,,0,2001-02-19,,,,,
876052,2001,8,52,5,0,150107A201,150107,1,1,11,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,,,0,2001-02-26,,,,,
